 select hdr.[year], pos.RegArea, hal.frklen, hal.bbage, hal.srfage
from stlHeader hdr, stlHalibut hal, stlStationPositions pos
where hdr.[year] between 1998 and 2011 and hdr.stlkey = hal.stlkey and STR(hdr.stnno,4,0) = pos.Station and
      hdr.[year] = pos.[Year] and hdr.prpcde IN ('SG','ES','BG','DE','SE') and
      (hal.srfage IS NOT NULL or hal.bbage IS NOT NULL)

	
year,area,length,bbage,srfage
1998,3A,76,NULL,14
1998,3A,118,NULL,10
1998,3A,112,NULL,10
1998,3A,82,NULL,12
1998,3A,71,NULL,11
1998,3A,77,NULL,15
1998,3A,139,NULL,11
1998,3A,126,NULL,13
1998,3A,74,NULL,11
1998,3A,89,NULL,15
1998,3A,72,NULL,10
1998,3A,89,NULL,12
1998,3A,82,NULL,13
1998,3A,78,NULL,12
1998,3A,89,NULL,9
1998,3A,96,NULL,13
1998,3A,91,NULL,10
1998,3A,83,NULL,10
1998,3A,73,NULL,9
1998,3A,117,NULL,14
1998,3A,74,NULL,8
1998,3A,99,NULL,13
1998,3A,84,NULL,13
1998,3A,88,17,14
1998,3A,113,NULL,10
1998,3A,86,16,14
1998,3A,85,15,13
1998,3A,91,NULL,14
1998,3A,81,NULL,14
1998,3A,130,NULL,15
1998,3A,72,NULL,9
1998,3A,88,NULL,14
1998,3A,87,14,14
1998,3A,93,NULL,15
1998,3A,90,NULL,10
1998,3A,77,NULL,11
1998,3A,83,NULL,14
1998,3A,84,13,14
1998,3A,77,NULL,12
1998,3A,109,NULL,11
1998,3A,75,NULL,10
1998,3A,94,NULL,11
1998,3A,74,NULL,11
1998,3A,85,NULL,11
1998,3A,149,NULL,12
1998,3A,88,NULL,8
1998,3A,87,15,14
1998,3A,91,NULL,10
1998,3A,97,NULL,13
1998,3A,70,NULL,10
1998,3A,82,13,14
1998,3A,100,NULL,12
1998,3A,79,NULL,13
1998,3A,81,14,11
1998,3A,98,NULL,11
1998,3A,79,NULL,14
1998,3A,120,NULL,14
1998,3A,92,NULL,11
1998,3A,93,NULL,11
1998,3A,117,NULL,15
1998,3A,78,14,13
1998,3A,70,NULL,10
1998,3A,101,NULL,10
1998,3A,75,NULL,11
1998,3A,87,13,13
1998,3A,95,NULL,10
1998,3A,89,NULL,12
1998,3A,89,NULL,14
1998,3A,77,NULL,11
1998,3A,102,NULL,11
1998,3A,100,NULL,11
1998,3A,81,NULL,8
1998,3A,113,NULL,10
1998,3A,101,14,12
1998,3A,77,NULL,9
1998,3A,92,11,11
